SAMPLE,NEST,STREAM,VISIT,AGE,SEX,COLLECTION_DATE,PROPORTION_EPT,AVG_PH,MOTU_RICHNESS,TERRESTRIAL_MOTU_RICHNESS,LEVINS
BKT1_1,BKT1,LOYAL,1,Nestling,Unknown,18-May-15,0.2695,7.0441,36,5,0.200079051
BKT1_10,BKT1,LOYAL,2,Nestling,Unknown,20-May-15,0.2695,7.0441,33,4,0.200079051
BKT1_11,BKT1,LOYAL,2,Nestling,Unknown,20-May-15,0.2695,7.0441,7,1,0.200079051
BKT1_12,BKT1,LOYAL,2,Adult,Male,20-May-15,0.2695,7.0441,23,2,0.200079051
BKT1_13,BKT1,LOYAL,2,Adult,Female,20-May-15,0.2695,7.0441,20,2,0.200079051
BKT1_2,BKT1,LOYAL,1,Nestling,Unknown,18-May-15,0.2695,7.0441,31,4,0.200079051
BKT1_4,BKT1,LOYAL,1,Nestling,Unknown,18-May-15,0.2695,7.0441,29,4,0.200079051
BKT1_5,BKT1,LOYAL,1,Nestling,Unknown,18-May-15,0.2695,7.0441,22,3,0.200079051
BKT1_6,BKT1,LOYAL,2,Nestling,Unknown,20-May-15,0.2695,7.0441,14,2,0.200079051
BKT1_7,BKT1,LOYAL,2,Nestling,Unknown,20-May-15,0.2695,7.0441,23,5,0.200079051
BKT1_8,BKT1,LOYAL,2,Nestling,Unknown,20-May-15,0.2695,7.0441,29,4,0.200079051
BKT14_1,BKT14,POWD,2,Nestling,Unknown,3-Jun-15,0.0829,4.6273,57,6,0.357549407
BKT14_10,BKT14,POWD,1,Adult,Male,1-Jun-15,0.0829,4.6273,44,8,0.357549407
BKT14_2,BKT14,POWD,2,Nestling,Unknown,3-Jun-15,0.0829,4.6273,57,5,0.357549407
BKT14_3,BKT14,POWD,2,Nestling,Unknown,3-Jun-15,0.0829,4.6273,44,4,0.357549407
BKT14_4,BKT14,POWD,2,Nestling,Unknown,3-Jun-15,0.0829,4.6273,34,4,0.357549407
BKT14_5,BKT14,POWD,1,Nestling,Unknown,1-Jun-15,0.0829,4.6273,41,5,0.357549407
BKT14_6,BKT14,POWD,1,Nestling,Unknown,1-Jun-15,0.0829,4.6273,46,5,0.357549407
BKT14_7,BKT14,POWD,1,Nestling,Unknown,1-Jun-15,0.0829,4.6273,42,8,0.357549407
BKT14_8,BKT14,POWD,1,Nestling,Unknown,1-Jun-15,0.0829,4.6273,67,9,0.357549407
BKT14_9,BKT14,POWD,1,Adult,Female,1-Jun-15,0.0829,4.6273,67,5,0.357549407
BKT2_1,BKT2,LOYAL,2,Nestling,Unknown,26-May-15,0.1791,7.0973,23,4,0.105770751
BKT2_10,BKT2,LOYAL,1,Nestling,Unknown,25-May-15,0.1791,7.0973,26,7,0.105770751
