NEST,STREAM,INCLUDES_ADULTS,MOTU_RICHNESS,LEVINS,AVG_PH,PROPORTION_EPT
BKT1,LOYAL,Yes,97,0.194624506,7.044117955,0.269485904
BKT14,POWD,Yes,152,0.374426877,4.627254075,0.082872928
BKT2,LOYAL,No,51,0.105770751,7.09729466,0.179063361
BKT3,LAUREL,Yes,133,0.278972332,5.882286661,0.072390572
BKT5,POWD,No,107,0.245652174,6.666108838,0.175750834
BKT7,POWD,Yes,105,0.252411067,6.691325113,0.162763466
BKT9,POWD,Yes,119,0.273754941,6.84767656,0.204414587
DAM1,POWD,Yes,132,0.30486166,6.577577501,0.15795207
MMP1,POWD,No,57,0.147628458,6.342140734,0.229577465
MMP2,POWD,Yes,135,0.323320158,6.803125314,0.213963964
