SAMPLE,NEST,STREAM,VISIT,AGE,SEX,COLLECTION_DATE,PROPORTION_EPT,AVG_PH,MOTU_RICHNESS,LEVINS
BKT3_5,BKT3,LAUREL,2,Nestling,Unknown,27-May-15,0.0724,5.8823,24,0.267588933
BKT3_6,BKT3,LAUREL,1,Nestling,Unknown,25-May-15,0.0724,5.8823,25,0.267588933
BKT3_7,BKT3,LAUREL,1,Nestling,Unknown,25-May-15,0.0724,5.8823,25,0.267588933
BKT3_3,BKT3,LAUREL,2,Nestling,Unknown,27-May-15,0.0724,5.8823,29,0.267588933
BKT3_8,BKT3,LAUREL,1,Nestling,Unknown,25-May-15,0.0724,5.8823,34,0.267588933
BKT3_4,BKT3,LAUREL,2,Nestling,Unknown,27-May-15,0.0724,5.8823,40,0.267588933
BKT3_9,BKT3,LAUREL,1,Nestling,Unknown,25-May-15,0.0724,5.8823,44,0.267588933
BKT3_1,BKT3,LAUREL,2,Nestling,Unknown,27-May-15,0.0724,5.8823,46,0.267588933
BKT3_2,BKT3,LAUREL,2,Nestling,Unknown,27-May-15,0.0724,5.8823,47,0.267588933
BKT3_12,BKT3,LAUREL,1,Nestling,Unknown,25-May-15,0.0724,5.8823,66,0.267588933
BKT14_4,BKT14,POWD,2,Nestling,Unknown,3-Jun-15,0.0829,4.6273,34,0.357549407
BKT14_5,BKT14,POWD,1,Nestling,Unknown,1-Jun-15,0.0829,4.6273,41,0.357549407
BKT14_7,BKT14,POWD,1,Nestling,Unknown,1-Jun-15,0.0829,4.6273,42,0.357549407
BKT14_3,BKT14,POWD,2,Nestling,Unknown,3-Jun-15,0.0829,4.6273,44,0.357549407
BKT14_6,BKT14,POWD,1,Nestling,Unknown,1-Jun-15,0.0829,4.6273,46,0.357549407
BKT14_1,BKT14,POWD,2,Nestling,Unknown,3-Jun-15,0.0829,4.6273,57,0.357549407
BKT14_2,BKT14,POWD,2,Nestling,Unknown,3-Jun-15,0.0829,4.6273,57,0.357549407
BKT14_8,BKT14,POWD,1,Nestling,Unknown,1-Jun-15,0.0829,4.6273,67,0.357549407
DAM1_3,DAM1,POWD,1,Nestling,Unknown,21-May-15,0.158,6.5776,28,0.235019763
DAM1_4,DAM1,POWD,2,Nestling,Unknown,22-May-15,0.158,6.5776,28,0.235019763
DAM1_2,DAM1,POWD,1,Nestling,Unknown,21-May-15,0.158,6.5776,31,0.235019763
DAM1_1,DAM1,POWD,1,Nestling,Unknown,21-May-15,0.158,6.5776,41,0.235019763
DAM1_6,DAM1,POWD,2,Nestling,Unknown,22-May-15,0.158,6.5776,45,0.235019763
BKT7_2,BKT7,POWD,1,Nestling,Unknown,26-May-15,0.1628,6.6913,14,0.24173913
BKT7_1,BKT7,POWD,1,Nestling,Unknown,26-May-15,0.1628,6.6913,15,0.24173913
BKT7_5,BKT7,POWD,2,Nestling,Unknown,28-May-15,0.1628,6.6913,23,0.24173913
BKT7_8,BKT7,POWD,2,Nestling,Unknown,28-May-15,0.1628,6.6913,23,0.24173913
BKT7_3,BKT7,POWD,1,Nestling,Unknown,26-May-15,0.1628,6.6913,29,0.24173913
BKT7_4,BKT7,POWD,1,Nestling,Unknown,26-May-15,0.1628,6.6913,32,0.24173913
BKT7_7,BKT7,POWD,2,Nestling,Unknown,28-May-15,0.1628,6.6913,32,0.24173913
BKT7_6,BKT7,POWD,2,Nestling,Unknown,28-May-15,0.1628,6.6913,35,0.24173913
BKT5_1,BKT5,POWD,2,Nestling,Unknown,29-May-15,0.1758,6.6661,11,0.245652174
BKT5_2,BKT5,POWD,2,Nestling,Unknown,29-May-15,0.1758,6.6661,17,0.245652174
BKT5_7,BKT5,POWD,1,Nestling,Unknown,28-May-15,0.1758,6.6661,21,0.245652174
BKT5_6,BKT5,POWD,1,Nestling,Unknown,28-May-15,0.1758,6.6661,23,0.245652174
BKT5_4,BKT5,POWD,2,Nestling,Unknown,29-May-15,0.1758,6.6661,24,0.245652174
BKT5_5,BKT5,POWD,1,Nestling,Unknown,28-May-15,0.1758,6.6661,29,0.245652174
BKT5_3,BKT5,POWD,2,Nestling,Unknown,29-May-15,0.1758,6.6661,31,0.245652174
BKT5_9,BKT5,POWD,1,Nestling,Unknown,28-May-15,0.1758,6.6661,35,0.245652174
BKT5_8,BKT5,POWD,1,Nestling,Unknown,28-May-15,0.1758,6.6661,45,0.245652174
BKT2_7,BKT2,LOYAL,1,Nestling,Unknown,25-May-15,0.1791,7.0973,8,0.105770751
BKT2_8,BKT2,LOYAL,1,Nestling,Unknown,25-May-15,0.1791,7.0973,8,0.105770751
BKT2_9,BKT2,LOYAL,1,Nestling,Unknown,25-May-15,0.1791,7.0973,8,0.105770751
BKT2_6,BKT2,LOYAL,1,Nestling,Unknown,25-May-15,0.1791,7.0973,10,0.105770751
BKT2_2,BKT2,LOYAL,2,Nestling,Unknown,26-May-15,0.1791,7.0973,11,0.105770751
